Lkm,G10,G15,G20,G25,G30,G35,G40,G45,G50,G55,G60,G65,G70,G75,G80,G85,G90,G95,G100
1,-3.50766291782456e-05,2.50905328376216e-05,6.4017408157242e-05,0.00033200465024158,0.000878986139263085,0.00150889388787038,0.00297514472243195,0.0046503220651092,0.00729520142688773,0.010546677960327,0.0152540665241214,0.0199010945875885,0.0274900888213359,0.0351652139135693,0.0462157156991188,0.0567080663978939,0.0677271231772731,0.0830312080408536,0.0964333890164234
2,3.48395215282471e-05,0.000177147638713899,0.000613927423640928,0.00176141199577718,0.00351688328705512,0.00659513330296507,0.0123420646933611,0.0181992374196742,0.0286605143020549,0.0385571044322866,0.0560063570640854,0.0723315515681108,0.0924178467375988,0.118656831108555,0.136695532652891,0.160724932503886,0.190310311477564,0.213246505948067,0.235725973754842
3,1.81166139585409e-05,0.000295377075064942,0.00132876970373198,0.00428720142340019,0.00841458496699962,0.015282123962128,0.0258503606079472,0.0408664414253307,0.0606408905059695,0.0803790405184133,0.109696209815181,0.135079083738042,0.166799437386252,0.196976678181265,0.226337763936272,0.254820141080535,0.279237786159678,0.302800723617322,0.319488353675497
4,1.86576591034093e-05,0.000740524257121216,0.0030397939563167,0.00674350786767658,0.0150195675162638,0.0272637369437256,0.0462799596123415,0.0685810693387769,0.0951221525922582,0.126126991520929,0.16471596816183,0.20040051148107,0.237235547415406,0.267208236649534,0.290699882820847,0.30982457271568,0.32674019699772,0.33960408800222,0.344553964615334
5,0.000123733566799329,0.0013382805124309,0.00426653048034427,0.0116373915924443,0.0236464570603529,0.0424251775854134,0.0676324146842937,0.0974973994667943,0.13615163153271,0.175328648284179,0.211746194487514,0.24733806525068,0.283119517132412,0.305100336143483,0.322159260232899,0.337105675889847,0.345143922274627,0.35144349757646,0.362182793993336
6,0.000199007612853244,0.00197354711614228,0.00703371804142809,0.0153486731731577,0.0332004043960631,0.0571752805179934,0.0910047514712857,0.128391524077155,0.171871859840698,0.214616603100195,0.25624591707724,0.291151225356582,0.310743894711132,0.336011604310694,0.341832379635497,0.350341112944279,0.355952851555476,0.36758573142582,0.378276763691552
7,0.000505551227839254,0.00277801172969886,0.00880206267835064,0.0210434203205231,0.0443816576976871,0.0743513285148209,0.112558491873669,0.159239288502493,0.206174296730509,0.248615620767546,0.283821145927163,0.313136501886173,0.33131159748433,0.34579403576723,0.358540908059232,0.359670547632796,0.373454851217076,0.378811359320996,0.390732028907354
8,0.000687401182484388,0.00357152925287357,0.0117795542726765,0.0301019911941488,0.055357034043551,0.0921302901947556,0.137937651395804,0.1885107006956,0.234704345836066,0.277705983769374,0.309569418969633,0.32843069293363,0.343945763015979,0.349679002788185,0.364839298268684,0.369858613702194,0.383439291331855,0.3888522536063,0.391229670848758
9,0.00102216787518097,0.00474070619158461,0.0156590187494033,0.0378906491573763,0.0686592508162636,0.112208941800912,0.159988399558611,0.217033329621098,0.267873307207347,0.301546995214105,0.324940617669024,0.342332865752744,0.346942653206231,0.357135877753945,0.379601162097733,0.380357086521818,0.385921789175955,0.398626993094059,0.391568558283272
10,0.00100315936241761,0.00568748291381125,0.0189663527738428,0.0441951184422778,0.0828168944354172,0.131778838995678,0.186040996513659,0.240946158956807,0.288120047077707,0.32022631887663,0.336771745947127,0.34177555874669,0.36749353972539,0.372096116299841,0.372088990913936,0.384802976710958,0.392516408249923,0.398907960471903,0.402000747044047
