Lkm,G10,G15,G20,G25,G30
10,-0.00132778242796602,-0.00637841900404276,-0.01945230965264,-0.0459941284523934,-0.0885251164657758
11,-0.00160220874231473,-0.00768930410500504,-0.0235977731492937,-0.0545810721134792,-0.104331509726904
12,-0.00190636976631936,-0.00911940863332998,-0.0278735146672115,-0.0640515362558652,-0.119266072471741
13,-0.00220233522133863,-0.0106810950625828,-0.0322818665941315,-0.0735066855363236,-0.135399189809107
14,-0.00252346798298205,-0.0123132437080544,-0.0370095217116716,-0.0838110544426544,-0.149825095925983
15,-0.0029059702978559,-0.014055106452723,-0.0425023611198594,-0.0935299328610017,-0.166228899854932
16,-0.00327530372765059,-0.0159892171339341,-0.0477419242072329,-0.105737091576423,-0.177184378549778
17,-0.00368631874735343,-0.0180073936598757,-0.0536093843374867,-0.115614053421288,-0.191155689587645
18,-0.00408325214556734,-0.0200073420072958,-0.0592394653662377,-0.127281325728554,-0.202313431911066
19,-0.00460433041526191,-0.0220263278411125,-0.0652215454098946,-0.1374939461057,-0.212082932212088
20,-0.00505646119084969,-0.0245783743169868,-0.0719855058551785,-0.148589645407835,-0.221099892800637
21,-0.00555943600819497,-0.0267741727924439,-0.078310387472313,-0.157349040803347,-0.226131780693926
22,-0.00612301611877605,-0.0294585676756232,-0.0849744601998916,-0.167634664320351,-0.233505000059286
23,-0.00668048442267574,-0.0317562693646859,-0.0919611012361685,-0.178052066636426,-0.234433091445417
24,-0.0072448156390132,-0.0348036635875,-0.098119786337178,-0.186488472134349,-0.234474606541595
25,-0.00786644741424317,-0.0374573017486137,-0.104927127264014,-0.197825222684316,-0.237351284009195
26,-0.00841670033090379,-0.0402999892914886,-0.111593640023195,-0.204393986840996,-0.230187540711048
27,-0.00917891391308824,-0.043298851275956,-0.119544421895607,-0.210517250214197,-0.23035021485118
28,-0.00976608598162347,-0.0463675536863278,-0.125276040443806,-0.217407358835755,-0.226551817177254
29,-0.0104947762683378,-0.0493859017906463,-0.132566288318051,-0.222406175060505,-0.217218835841337
30,-0.0111795546772479,-0.0530453664120727,-0.140135833798894,-0.227712305497425,-0.212902994553498
31,-0.0119127198444156,-0.0559430780274013,-0.146862332956762,-0.231645442541586,-0.207107988813916
32,-0.0127111489104298,-0.0591056855713262,-0.154099201846132,-0.233063326085591,-0.201311031174657
33,-0.0134631411830501,-0.0625709634712964,-0.159905838222195,-0.234026378284821,-0.196819387461726
34,-0.0143287980485816,-0.0657627791259077,-0.166128462552486,-0.235189323822036,-0.186138306131931
35,-0.01510620500471,-0.069772609458544,-0.174200264824329,-0.234724714256264,-0.181462440528105
36,-0.0159052787504974,-0.0731603358550013,-0.179389052728691,-0.234725181936093,-0.177584482541212
37,-0.0167339024474402,-0.0767738874460931,-0.185822912342635,-0.231065695388742,-0.173669091908904
38,-0.0176625923464211,-0.0806495579362691,-0.190276623532949,-0.23149138057717,-0.17033495728052
39,-0.0186505095048372,-0.0851194457674078,-0.196146393584303,-0.227391009084038,-0.165889629205953
40,-0.0195923214604792,-0.088212568248802,-0.201248992662612,-0.223258656447473,-0.163715757876885
41,-0.0203800698856845,-0.0922064919824004,-0.20498617356359,-0.219237637349514,-0.166616954601222
42,-0.0213982287933684,-0.0957627107871337,-0.211242619093859,-0.218482695737038,-0.16699728352584
43,-0.0223217706039534,-0.0995893055808706,-0.216342026814762,-0.213517251965611,-0.167992834505449
44,-0.0235505860273156,-0.103155882070648,-0.21720185902814,-0.211411655536096,-0.16959543406517
45,-0.0244845325431047,-0.107535267489766,-0.220678808484979,-0.204078431808979,-0.174505987647125
46,-0.0255961032807887,-0.111663292973106,-0.223047697874678,-0.199421467365652,-0.174843402404203
