Lkm,L1000,L1100,L1200,L1300,L1400,L1500,L1600,L1700,L1800,L1900
1,-1.64333348040158e-05,-4.74403273692969e-05,-0.000162696941208242,-0.000312139744414894,-0.000480903970152773,-0.000661475648307666,-0.000831604530325962,-0.00100070057877344,-0.00119080837182758,-0.00135915928074297
2,-5.54307389806441e-05,-0.000133169196624392,-0.000539100141863442,-0.00109534302282988,-0.00177481121453786,-0.00246773232033182,-0.00315094778218486,-0.00379873015128875,-0.00449985616774728,-0.0051154291925064
3,-0.000101227263294814,-0.000252804727750093,-0.00113149331738167,-0.00237588084758011,-0.00380997868006138,-0.0053442282835345,-0.00688161675161845,-0.0084266004709163,-0.00985236481409597,-0.0113420403647373
4,-0.000153068651724366,-0.000419122670998138,-0.00196407889278112,-0.0041774551272245,-0.00670697821583118,-0.00945025402230657,-0.0121050840001753,-0.0148808638896936,-0.0172687333779589,-0.0196773236629051
5,-0.000217919625353247,-0.000631388277933787,-0.0030439894261224,-0.00645142128806211,-0.0104533332939239,-0.0145761578777759,-0.0186327672282048,-0.02254666316273,-0.0266083513476039,-0.0304467928804529
6,-0.000299556096163034,-0.000881523334830647,-0.00431493161932258,-0.00927009282381125,-0.014814550049321,-0.0206046012778257,-0.0263702101167272,-0.0322655489316621,-0.0374808876625841,-0.0425926030966244
7,-0.000391812463355121,-0.00117064459209197,-0.00578827353197568,-0.012457718362787,-0.0200579842804241,-0.0277108249493975,-0.0355251191630832,-0.0428634576778528,-0.0503442717046827,-0.0569176936703797
8,-0.000496288668070592,-0.00150711107420948,-0.00757270527959923,-0.0161136291018116,-0.0258180084021877,-0.0358318390698188,-0.0460508769310492,-0.0551424840796295,-0.0641324300702665,-0.0721009514598326
9,-0.000619414454188534,-0.00189565460009327,-0.00949430526061006,-0.0203445570102597,-0.032359883954717,-0.0447295765075576,-0.0568456774796465,-0.0683360663405621,-0.0798214627164844,-0.0892433040970829
10,-0.000751486280187499,-0.00231170266321144,-0.0116195813918408,-0.0248824403446057,-0.0394413080203937,-0.0542158536824991,-0.0691785224738512,-0.0822336144083692,-0.0942543099784895,-0.107225091685189
11,-0.000892348428158338,-0.00277857972418704,-0.0139982293351269,-0.0294850435117879,-0.0475027574402477,-0.0649804251341661,-0.0812533124855216,-0.0968759856952228,-0.111547542039028,-0.123944108425421
12,-0.00104686160196965,-0.00329990528582109,-0.0166502089525458,-0.0349580746265796,-0.0552084936088759,-0.0758953972506712,-0.0950268659885839,-0.111132310196974,-0.127571073590902,-0.140878592654018
13,-0.00121380121100583,-0.00383708640969091,-0.019405527409003,-0.0406688268730564,-0.0637646811136096,-0.0865349812784619,-0.108263094062679,-0.127568765335198,-0.144328558371815,-0.158805481559595
14,-0.00140747648874335,-0.00446658354422282,-0.022386354576029,-0.0470009382150418,-0.0732971808916011,-0.098731369708049,-0.122337935327489,-0.142313168521934,-0.161012968725284,-0.173804177446623
15,-0.00162233406041124,-0.00508913056229493,-0.0255462552688464,-0.0538576018440113,-0.0826161818079688,-0.110325769680238,-0.134749355213232,-0.156827456187882,-0.17462067211888,-0.188643483448449
16,-0.00184202194055471,-0.00579585733867974,-0.0290062774066157,-0.060226327398766,-0.0922791106953565,-0.123001984169597,-0.1481066369449,-0.171232045441321,-0.18997008808466,-0.202007283628104
17,-0.00204366424273097,-0.00651916941254122,-0.0326164600148202,-0.0671952320508609,-0.10235590617591,-0.135230543564268,-0.160778586234905,-0.182603280305535,-0.199473983539556,-0.212708683641825
18,-0.00227570006486065,-0.00730331489237476,-0.036175747135781,-0.0743705867200697,-0.112116670780709,-0.145993079780756,-0.174858551607659,-0.195151665002778,-0.211791524671797,-0.219651686172328
19,-0.00253010522096271,-0.0080278939764534,-0.0399648620618611,-0.0806363024029501,-0.121773844489356,-0.156587264353243,-0.185798370463714,-0.206411207822298,-0.219957463506121,-0.227778425909751
20,-0.00278224420153539,-0.00896880973943084,-0.0439400162769377,-0.0889275969361355,-0.132567026590494,-0.167810466088785,-0.197859661840173,-0.216503267684078,-0.226220843169342,-0.234644260205536
21,-0.00306124284048916,-0.00984632382482862,-0.0481299876060389,-0.0965038988579797,-0.141913765947027,-0.17909199678197,-0.206921491883566,-0.221380551225396,-0.233258373852085,-0.233973391482114
22,-0.00335491683500928,-0.0108199279660168,-0.0523978875301198,-0.104938114454146,-0.151897602247574,-0.189170201050122,-0.214457999732483,-0.228295252086224,-0.232816319597018,-0.235457510649655
23,-0.00362588804521866,-0.0116864751967192,-0.0571666245051114,-0.112873099910411,-0.16108293273185,-0.197938554590599,-0.219097080107765,-0.233767184460629,-0.236043399798347,-0.235895741794781
24,-0.00394340286434432,-0.0127398333805782,-0.0610218840293208,-0.120261037063042,-0.170978608918765,-0.206247771309353,-0.226102053902415,-0.234831634801638,-0.234746613827986,-0.225757223211222
25,-0.00430552604895657,-0.0138151498968556,-0.0659681806284631,-0.12766117312138,-0.179787799252683,-0.212561421065912,-0.231231362138246,-0.237013384490461,-0.230884396737101,-0.222312798580203
26,-0.00463207277482348,-0.0147636431879652,-0.0710391711803229,-0.135671263968717,-0.188009263982246,-0.222995117491289,-0.233845599328057,-0.235894414716674,-0.228686219528879,-0.219306391146192
27,-0.0049816995153669,-0.0159850291255556,-0.0759530055394016,-0.143862118297462,-0.194775022769228,-0.225913769840904,-0.238586777107388,-0.235605536878099,-0.22011209500869,-0.212314680038495
28,-0.00535097756413297,-0.0171111261942481,-0.081142189551624,-0.152425493846673,-0.20244245198631,-0.23040077481509,-0.234722816221911,-0.229242291650006,-0.218200815623545,-0.203862387965897
29,-0.00576053438465718,-0.018271028369936,-0.0858549856193883,-0.159064501672514,-0.209282541375004,-0.230480593055667,-0.236989964309432,-0.225583765465866,-0.210027008226804,-0.201078455045355
30,-0.00612285760585686,-0.0197605199085654,-0.0919509314805954,-0.166318238975049,-0.213686721007685,-0.232398628509003,-0.232100891465987,-0.218695760160625,-0.205095964920027,-0.190198278735939
31,-0.00660201542865351,-0.0209048999109923,-0.0970902524263739,-0.172555455609917,-0.220722011634042,-0.236766317413061,-0.225540729322695,-0.216735900593788,-0.19909496360809,-0.183120596261399
32,-0.00703441161775653,-0.0221800318673837,-0.100880033326932,-0.180977067103696,-0.223276804467969,-0.238688115693554,-0.226396174860685,-0.20660888125779,-0.190020469708066,-0.176790001099464
33,-0.00740547482578867,-0.0238450514895276,-0.10689747732436,-0.186591643713642,-0.228291788063314,-0.234477123430473,-0.221074332944448,-0.201280645258341,-0.185533766500407,-0.174989061299091
34,-0.00786043780330435,-0.0248195543639956,-0.11193245414323,-0.191699797836206,-0.231479040575182,-0.233429721320994,-0.21627611017341,-0.196691241040158,-0.179465053660744,-0.171454570219781
35,-0.00829066723034685,-0.0265257342855631,-0.118202141411531,-0.19975361549862,-0.232793337653403,-0.231073005306252,-0.211792621525281,-0.186370091226416,-0.174724070328726,-0.166408334858115
36,-0.00873988169653667,-0.0279672294495416,-0.122352929810372,-0.203928253382579,-0.233020599399068,-0.227084577560738,-0.207736125011868,-0.187457212289043,-0.173577349586113,-0.167479703734009
37,-0.00930336662161496,-0.0294988718402467,-0.128120189532029,-0.209761832194693,-0.235497923858747,-0.220798922239896,-0.200175797896908,-0.176824640752044,-0.167723282706264,-0.166463142101828
38,-0.00977587979534527,-0.031112218487447,-0.134435620167338,-0.213792118801808,-0.234745759285874,-0.219156263536849,-0.194322798806082,-0.178643164942192,-0.168469953415875,-0.16506580020277
39,-0.0102333539284461,-0.0323976403823774,-0.139299577320048,-0.217970255363249,-0.234692622242451,-0.214339871673958,-0.189023999224156,-0.171639839880412,-0.164384247090069,-0.168976934339399
40,-0.0107247311007416,-0.0339048297706938,-0.144666509191669,-0.222108510522511,-0.234342664008857,-0.213624973486069,-0.18411945638253,-0.168794231871014,-0.166475931615788,-0.170626727813298
41,-0.0112817133858536,-0.0357950449300376,-0.149711405416074,-0.225230554995174,-0.230494859048952,-0.205271291305724,-0.177053468739746,-0.166147574035151,-0.169054644027915,-0.173817957502152
42,-0.0119367606371423,-0.0373023533513692,-0.155348469263276,-0.228362234172623,-0.229563859110483,-0.196028564204489,-0.175864668180153,-0.165741746686661,-0.168035502345954,-0.176279804549835
43,-0.0124821240174612,-0.0388437452990862,-0.158600802312794,-0.229661335619503,-0.227094374653386,-0.194615809077721,-0.172949614213049,-0.165821724842855,-0.169443903433063,-0.182997221638574
44,-0.0130659260433585,-0.0404607955491591,-0.164137168903474,-0.232963185957398,-0.220651393488776,-0.190429876567557,-0.169990243411514,-0.165601218527141,-0.176165944577344,-0.185303057398455
45,-0.0135744649147583,-0.0423772662417959,-0.171411397658782,-0.23359932197741,-0.220613247052278,-0.187227745776959,-0.170864220481047,-0.168562213333545,-0.176583063197204,-0.18912460451291
46,-0.0141675394976653,-0.0440632778922455,-0.172422565173065,-0.234277675965676,-0.215354115127642,-0.178220565868231,-0.166018285727695,-0.172304600726171,-0.181405181221599,-0.191887010394894
47,-0.0147343080886825,-0.0464974825415764,-0.177578557517613,-0.234803751314935,-0.213015758553805,-0.178198300372621,-0.166397878232781,-0.169430683007228,-0.182914020411447,-0.19550192812434
48,-0.0153449318227355,-0.0481271246036464,-0.184039876974698,-0.236541487258446,-0.205851693751347,-0.175091332570495,-0.167859335898157,-0.175885892583232,-0.18977471609244,-0.199230559786652
49,-0.0160122673481203,-0.0501457026312426,-0.186802216430909,-0.233504142545804,-0.202004837952432,-0.172651496314204,-0.166288458874015,-0.180184275449811,-0.190211301977081,-0.203017385572851
50,-0.0165700334645118,-0.051862729451328,-0.191634350712619,-0.23200316929122,-0.201221135477329,-0.170360258242055,-0.164978521818878,-0.182236226294519,-0.193766549305098,-0.200963910633576
51,-0.017176452522337,-0.0540334285176128,-0.196500875388635,-0.233300471423416,-0.194855358947102,-0.169424813284859,-0.171018636029043,-0.184901535421322,-0.198445602303777,-0.20258082998277
52,-0.0178809410962624,-0.0555345725925972,-0.199850286597837,-0.231951023982219,-0.189770736220808,-0.164818214875786,-0.171675503328341,-0.188452187765238,-0.202111441751421,-0.20622035615794
53,-0.018714854757771,-0.0577446946001328,-0.20480936656816,-0.230971959196621,-0.188101960637414,-0.168183567203049,-0.17228890606991,-0.190839428098255,-0.203764195217675,-0.200334337207659
54,-0.0192805820850558,-0.0596007562358226,-0.208994236388455,-0.22889909071954,-0.182700338629739,-0.165004053695355,-0.178537501225163,-0.190810571039114,-0.199655412133255,-0.203184786522456
55,-0.0200588247874375,-0.0616017094062156,-0.209332488998361,-0.228960803415899,-0.183075705557193,-0.168419026173493,-0.180093729129331,-0.198082814102039,-0.202618732740084,-0.195665432849454
56,-0.0206670247537738,-0.0637203576895374,-0.21280448928056,-0.224840949305408,-0.18032151817075,-0.168040439095123,-0.183649451486843,-0.196468414884807,-0.200738050127468,-0.198771507438648
57,-0.0214651691385793,-0.0657874971984211,-0.216078187021169,-0.219088159848671,-0.177772957766515,-0.169156968651782,-0.187405575442572,-0.198157177293509,-0.201154456014352,-0.193113275218408
58,-0.0221037349607047,-0.0681279572625596,-0.217796863303889,-0.216813782085594,-0.17354999076374,-0.169136446623147,-0.189651047987251,-0.202909751283073,-0.201880876869454,-0.189667622503431
59,-0.0228828013542645,-0.0702188663504986,-0.220785236844251,-0.214741865795189,-0.173603471884499,-0.171433765134775,-0.192872338062737,-0.200865518656666,-0.203340848332678,-0.188131997866174
60,-0.0236806334512242,-0.0723636319108535,-0.223780773409216,-0.210131777215944,-0.170137556975768,-0.172149736903646,-0.196393004357913,-0.203416498920635,-0.196910860638426,-0.184568612613396
61,-0.0245908962824539,-0.0738223221344881,-0.226526986067457,-0.208789617242831,-0.170653270652187,-0.176863340204809,-0.201376901446743,-0.203051894657578,-0.193008116707138,-0.184373909111984
62,-0.0251673447821819,-0.0762586492874434,-0.225531256687049,-0.20453843499531,-0.167580272139509,-0.179679816699914,-0.198204793939949,-0.204338042310556,-0.18909298263218,-0.17754107403108
63,-0.0260830774566991,-0.0788348164486577,-0.228579396548751,-0.20112582514631,-0.166736786936232,-0.184535561004178,-0.201201670953068,-0.199374827141404,-0.188719912901866,-0.181726636337417
64,-0.0267846440113356,-0.0808879497197253,-0.229918185903643,-0.199546069689645,-0.164747903203241,-0.17938977417545,-0.203864416476784,-0.196882994373342,-0.189017945288779,-0.175790073733067
65,-0.0272996028297909,-0.0825820236394504,-0.231474341358482,-0.195942482005877,-0.165607040186311,-0.188257697732723,-0.207224706223166,-0.198420680102724,-0.181525097499778,-0.177433134901337
66,-0.0282830370137909,-0.0854231376261476,-0.23421014396633,-0.191789140428241,-0.167691044995557,-0.1902522566117,-0.205597573375233,-0.192838312914946,-0.180783219759966,-0.172871982803659
67,-0.0290976377379695,-0.0874158882424755,-0.235046434044182,-0.190377110511046,-0.168881742493357,-0.18911295295374,-0.200309198681824,-0.194199199759307,-0.178571383928664,-0.177314586771703
68,-0.0297937753128953,-0.088747991533566,-0.233952725295711,-0.190102394719858,-0.17056286078708,-0.194293654664664,-0.200664577611197,-0.188728340437168,-0.178451519734637,-0.176199538516351
69,-0.0307661985737444,-0.0919845367187794,-0.235620271086993,-0.184592719768867,-0.171831942302285,-0.194122157458598,-0.19743681886246,-0.191690526575795,-0.178928101137693,-0.177204440962888
70,-0.031819845514664,-0.0937298738345587,-0.23493264711817,-0.181323370129187,-0.173689954900675,-0.197510080811696,-0.201402473062873,-0.187681202897148,-0.176287948874339,-0.182394913916333
71,-0.0323849771204248,-0.0964803987451635,-0.23324242287901,-0.18079648481551,-0.17177922660584,-0.198631334548262,-0.196585002246352,-0.183438858427817,-0.179118259809004,-0.183457481851269
72,-0.0333812570421472,-0.0994999819469809,-0.233266384738356,-0.177257537391081,-0.175517552708107,-0.199224680477186,-0.194697218731657,-0.179561984004956,-0.17657729623601,-0.184004644558092
73,-0.0340555893945899,-0.100371368340796,-0.235046412119362,-0.177031615208705,-0.177245389338765,-0.203610691031561,-0.196273942368881,-0.180223899947259,-0.178464899375832,-0.188256011322718
74,-0.0351233029408326,-0.103053265241565,-0.233633809220296,-0.174519370717251,-0.18040133343651,-0.20184352755236,-0.190660095061232,-0.17610585205269,-0.17668419202537,-0.188099167735317
75,-0.0358993869577274,-0.105304220442057,-0.233566619146781,-0.174041836166556,-0.182921059893302,-0.200300068545391,-0.190822118825782,-0.175528469633166,-0.178640035648478,-0.188468598645703
76,-0.0367338429022435,-0.108098948303603,-0.233459435377667,-0.17079586374892,-0.182955446574404,-0.202699198736508,-0.187653602673714,-0.180915572533999,-0.179510808131291,-0.194137865897925
77,-0.0379348025097283,-0.110353200176728,-0.230883446160662,-0.169112506320809,-0.188113250532917,-0.201157875171685,-0.182141181016545,-0.177797217099373,-0.184100159061522,-0.195850681053667
78,-0.0387304001372689,-0.11244026277239,-0.231146936535964,-0.169804600757949,-0.189216910466651,-0.200092423726529,-0.183453263546432,-0.176920674011293,-0.187220719616987,-0.197717958113076
79,-0.0397926833466831,-0.115439473283615,-0.228782537833445,-0.168296388583923,-0.190667172900045,-0.200198862363888,-0.182546945741071,-0.179312902188272,-0.190069654697298,-0.195798419598739
80,-0.040848445831971,-0.117861994887808,-0.227731672176376,-0.167915559307331,-0.19032611830395,-0.198823531145227,-0.182298875873456,-0.179210108517191,-0.186259982055248,-0.199766617062632
81,-0.0414760876563047,-0.120790097517021,-0.226514803866455,-0.167000298469606,-0.192946323430443,-0.199114770912284,-0.178777362988141,-0.180925193642557,-0.188448679747639,-0.197641989124968
82,-0.0429830875095103,-0.121824357368297,-0.222399540950774,-0.167823171231267,-0.198423426604689,-0.197424345926256,-0.17850615181877,-0.182723625583189,-0.192737989458985,-0.201005013759592
83,-0.0437208233956411,-0.12405037408762,-0.22112730864749,-0.166094672133827,-0.197354539343792,-0.197191740218625,-0.177429239066214,-0.183523224819498,-0.195523109214311,-0.195944222074996
84,-0.0450797065194443,-0.127132595356224,-0.221560036753718,-0.166619749823408,-0.198877980618275,-0.18970307776789,-0.176616946886654,-0.18550296254114,-0.195566184623079,-0.195918962716627
85,-0.0461586678877933,-0.128787341951688,-0.217312582883418,-0.166871672196999,-0.202008542319768,-0.191766211521596,-0.176450925067439,-0.182007984298635,-0.19655205454169,-0.194898678908999
86,-0.0465397883950708,-0.132237263069086,-0.217371386447954,-0.170364196233919,-0.202161041247246,-0.19394579517644,-0.175946930005532,-0.188855365633712,-0.198098778792288,-0.196719902215348
87,-0.047756450727526,-0.133875452945588,-0.21547533804027,-0.169324566748129,-0.200553642507379,-0.187791096401345,-0.175715949595346,-0.187015206090928,-0.199806756747209,-0.194344164865987
88,-0.0489743419144008,-0.136927299341403,-0.212638939319532,-0.170901925830208,-0.205052719326457,-0.183474416808004,-0.178485392924562,-0.191367774364117,-0.197967172325584,-0.19142171997517
89,-0.0497947797935187,-0.139634365373547,-0.210007527311657,-0.170603855470245,-0.203668725447198,-0.182883766040688,-0.179412006982829,-0.192349261897489,-0.196666479402106,-0.187087650428164
90,-0.0500161589183884,-0.141341188729529,-0.20763226877525,-0.172148951928146,-0.200905435036753,-0.180086026498491,-0.17724837431144,-0.196375630616585,-0.192444212226878,-0.179566768702134
91,-0.0519628653238855,-0.143552421500362,-0.205264980826625,-0.175548739147861,-0.200160483330042,-0.179657251915681,-0.182740012879232,-0.1976379091795,-0.194462920234502,-0.182421671243621
92,-0.0531398367686365,-0.146122443145671,-0.206155054384968,-0.177488598832599,-0.202208597930356,-0.179604326474156,-0.18227430609033,-0.194938750391656,-0.196732409092354,-0.17737243612446
93,-0.0531467778348406,-0.147039514212862,-0.20181381226247,-0.175919035013535,-0.204439378097877,-0.177525728454678,-0.18884157738448,-0.195336616437895,-0.189824315071741,-0.180952004291009
94,-0.054809098676476,-0.149020233896422,-0.198217044765905,-0.174586615605568,-0.201109998037423,-0.176916189201869,-0.185505216740904,-0.1964693819763,-0.192481544184637,-0.181048359771056
95,-0.0561636928745119,-0.152434362447217,-0.193678411561371,-0.182566989306902,-0.200567107937182,-0.174590124709768,-0.188210767235706,-0.19694656216238,-0.181346029572876,-0.18337985863515
96,-0.0569584018933422,-0.153219346760542,-0.194685378707625,-0.181572510857296,-0.199169647392468,-0.176720324744344,-0.190636258192232,-0.196837880430167,-0.185912536473386,-0.182657543770048
97,-0.0583135368815879,-0.156146673062865,-0.195181597286576,-0.184207882533564,-0.195190344795954,-0.175744267518301,-0.189787257987852,-0.195999391465129,-0.190741552916655,-0.185075905412184
98,-0.0596281778700752,-0.159691852255761,-0.192509091971834,-0.186459362376259,-0.197517685691626,-0.178203463227849,-0.191156638363376,-0.195645549863698,-0.184443057785498,-0.18055952047946
99,-0.0607954680208997,-0.160576561113807,-0.191088171287188,-0.189507915082365,-0.193572375361032,-0.177910855007097,-0.196558092743437,-0.198704066046289,-0.181636985787646,-0.182236845798053
