N,B
5,0.501471410157889
15,0.501010437854249
25,0.50052828729294
35,0.500358454191593
45,0.500273460305347
55,0.500222819649596
65,0.500189321614963
75,0.500165564759552
85,0.500147857920846
95,0.500134159917257
106,0.500122282739393
116,0.500113564919355
126,0.500106313353635
136,0.500100187691201
146,0.500094945157779
156,0.50009040797858
166,0.50008644301966
176,0.500082948621332
186,0.500079845827126
196,0.500077072388097
206,0.500074578570124
216,0.500072324162346
226,0.500070276303878
236,0.500068407879242
246,0.500066696316265
256,0.500065122673467
266,0.500063670938791
276,0.500062327484727
286,0.500061080640628
296,0.500059920353836
307,0.500058733656712
317,0.50005772814568
327,0.500056785669016
337,0.500055900482555
347,0.500055067519171
357,0.500054282291925
367,0.500053540813367
377,0.50005283952794
387,0.500052175255074
397,0.500051545141028
407,0.500050946617986
417,0.500050377369124
427,0.500049835298693
437,0.500049318506264
447,0.500048825264503
457,0.500048353999907
467,0.500047903276057
477,0.500047471779009
487,0.500047058304519
497,0.500046661746831
508,0.500046243860759
518,0.500045879612735
528,0.50004552937938
538,0.5000451923673
548,0.500044867841866
558,0.500044555121875
568,0.500044253574779
578,0.500043962612419
588,0.5000436816872
598,0.500043410288652
608,0.500043147940338
618,0.500042894197064
628,0.500042648642361
638,0.500042410886202
648,0.500042180562942
658,0.500041957329438
668,0.500041740863345
678,0.500041530861566
688,0.500041327038834
698,0.500041129126423
709,0.500040917947227
719,0.500040731638782
729,0.500040550500504
739,0.50004037432015
749,0.500040202896937
759,0.500040036040778
769,0.500039873571578
779,0.50003971531859
789,0.500039561119811
799,0.500039410821432
809,0.500039264277329
819,0.500039121348583
829,0.500038981903047
839,0.500038845814935
849,0.500038712964447
859,0.500038583237411
869,0.500038456524965
879,0.500038332723245
889,0.500038211733104
899,0.500038093459847
910,0.500037966389385
920,0.500037853531776
930,0.500037743123212
940,0.500037635084836
950,0.500037529341141
960,0.500037425819794
970,0.50003732445147
980,0.500037225169698
990,0.500037127910713
1000,0.500037032613325
