Lkm,rolloff0,rolloff0.05,rolloff0.1,rolloff0.2,rolloff0.3,rolloff0.4,rolloff0.5
1,0.000627629921593916,0.000706908854277557,0.000724416762478214,0.000886894184339572,0.00132501615733352,0.00163225155276031,0.00198706420096966
1.5,0.00135649090056772,0.00144229824767735,0.00186282281163286,0.0019765728434115,0.00282389384321879,0.00367765087029405,0.00446099547082987
2,0.0025573844212434,0.00263336468607307,0.00310042853586899,0.00374045272162655,0.00521132970544815,0.00657734526163496,0.0077646236247447
2.5,0.00393229826028675,0.00392162107786004,0.00435941902553991,0.00590912564738886,0.00810093010344229,0.0105092923620319,0.0123123782294451
3,0.00576082709958642,0.00573224776663569,0.00652246373176192,0.0083980845039617,0.0115555577492733,0.014825046156635,0.0174620723620314
3.5,0.00747219301568281,0.00723707877979108,0.00876300059053436,0.0112052342204027,0.0159786838641198,0.0196440728398813,0.0235182172573072
4,0.00985149891407026,0.00943587755359666,0.011494101446831,0.0150574090014735,0.0200104478673867,0.0256783025557919,0.0304461657654458
4.5,0.0124376257082359,0.012229239402265,0.0141658927050049,0.0190072845437879,0.0254822183735175,0.0323727894032084,0.0377288249779902
5,0.0156426940711929,0.0148828617240116,0.0178638784889841,0.0231446487867206,0.0310983756783706,0.0388413121051037,0.0458635689375052
5.5,0.0188105791638162,0.0190328574572553,0.0204251875273993,0.0280224156507397,0.0377415452100772,0.0468614889918165,0.0542545625350007
6,0.0227446901968925,0.0214596280291778,0.0244989845950879,0.0328484130539715,0.0440867628122298,0.0548430782967319,0.0630628823853578
6.5,0.0263688675666394,0.0254478044358026,0.0290282455615866,0.0383673501585732,0.0510382512255748,0.0634846670829931,0.0737845907385275
7,0.0304486053820121,0.0290236660038713,0.0329511613158258,0.0449561288271037,0.0580173528673301,0.0716918674762869,0.083792171516074
7.5,0.0348761118667201,0.0332641458696095,0.0377736541194056,0.0497839458013493,0.0649376838999673,0.0807887492402758,0.0940682085324723
8,0.0396289485975094,0.0376185250552126,0.0427683225755837,0.0561714222415688,0.0723523112864858,0.0900744382484264,0.104144627983938
8.5,0.0433279650846754,0.0422033009905023,0.0467980819230415,0.0643459065277192,0.0810184261040244,0.099440887662864,0.1152144004255
9,0.0482535884678583,0.0464951489395652,0.0528498256824568,0.0709429819052437,0.0894195182732377,0.108885147215507,0.124982911362385
9.5,0.0528646871371753,0.0513921577206528,0.0588534433284966,0.0771311911723182,0.0986250487757636,0.119783429398186,0.136967861706314
10,0.0575898794014028,0.0561029656047266,0.0639628946700131,0.0845135084972508,0.106096436350639,0.129655215926013,0.146350183831556
10.5,0.0618364799718809,0.0614984176615816,0.0689929852715751,0.0933917670577377,0.115314091260537,0.139584157988274,0.158350194504523
11,0.0672490531415677,0.0674634171549123,0.0752179306731,0.0992248966589277,0.124244027559103,0.149850956984505,0.169054291506888
11.5,0.0751074699621432,0.0715133915710515,0.0806149527160088,0.106142637316797,0.133263534830951,0.158721155446568,0.178927167185384
12,0.0781457700706208,0.0773153309808143,0.0883787684034709,0.115038656935624,0.142402329327017,0.168714104102173,0.190178856672557
12.5,0.0840279136326331,0.084048969029417,0.0946573967976216,0.122206298846666,0.151419975764735,0.178605649004385,0.201264262315948
13,0.0884260998123163,0.0868387098533947,0.0995298510589936,0.128486465395267,0.160569815927777,0.188748357051276,0.210601796533798
13.5,0.0948020713661224,0.0938573509092544,0.107588423082589,0.137808457996544,0.169567523064359,0.198745494552531,0.222426191959728
14,0.102174166905412,0.0985991310175986,0.111254097359038,0.143295458370105,0.178140449378004,0.208146407384833,0.230025561272584
14.5,0.106395890791945,0.107245277198776,0.119207675464624,0.152758914534753,0.185571785175352,0.217246044114849,0.24094096492569
15,0.113869480816399,0.112484277357724,0.127797642582198,0.160157375098149,0.194659501021546,0.227542366363554,0.249879920188747
15.5,0.11790937796823,0.116967865325313,0.132854829004888,0.167495479942347,0.203893993287439,0.237076378413452,0.258574648095671
16,0.123800730010385,0.125176046878413,0.13934751103039,0.175403508898948,0.212197899273651,0.245642974668552,0.269314203328843
16.5,0.128164984013504,0.128620824472808,0.14582146788915,0.182724107159652,0.221148028347613,0.25229677671166,0.278434593539218
17,0.13357882212293,0.136167969194216,0.15128621801567,0.188575590021758,0.22946279953336,0.262013963481387,0.285852374169622
17.5,0.140504175732914,0.142325334412384,0.156740450373335,0.196313397498148,0.235210337334785,0.269537536574965,0.29422240559479
18,0.143684992289826,0.147719265878302,0.164239789115745,0.202712810579218,0.242770019512368,0.277151498210547,0.302825435378205
18.5,0.151181467668949,0.152336953305429,0.168724671514263,0.212966741097298,0.252492132605771,0.285557025253862,0.310355894076924
19,0.154600919034357,0.156842072010363,0.180165319200735,0.219129886040408,0.258083572628549,0.293664622240676,0.318681378218733
19.5,0.161930448769609,0.163324870163246,0.182765569904788,0.225298961979533,0.264744731086565,0.30027675819199,0.323099484167604
20,0.168276848409485,0.169856897776985,0.189741310546504,0.233887790283705,0.273194780117633,0.306489168395575,0.329497655925431
20.5,0.174074941969672,0.17453641440889,0.194134985101318,0.238362316712309,0.281700699920386,0.312069262599003,0.336826189911682
21,0.174943406632706,0.183955634808987,0.201137492220802,0.248017008949974,0.287900883842211,0.321751511106802,0.344859267431253
21.5,0.18796839611838,0.187107462102668,0.208029950938601,0.2505313366251,0.293590662814292,0.327261612696908,0.349198101755044
22,0.189961199895402,0.193543290548533,0.213175537751182,0.260864205272025,0.299553193719611,0.331143547119495,0.355489719887708
22.5,0.191972521984108,0.197583099578353,0.217465550240439,0.264037042074751,0.307156913514546,0.340532355481931,0.361471901967175
23,0.198256172033934,0.204147454726254,0.223048603435463,0.270462628695609,0.310462443408668,0.344904397341837,0.367388901467452
23.5,0.20587712218979,0.209534562038756,0.230468486539034,0.273803405328875,0.318519629358654,0.348841919753525,0.373021894552392
24,0.209799035625759,0.21052768148847,0.232242580496768,0.281551813237256,0.323874784023063,0.354554744161643,0.377317264000327
24.5,0.212951837899239,0.216251046410709,0.240980951399153,0.28984219338889,0.327418469546773,0.35953312513219,0.381338310212866
25,0.218641840361209,0.223569868848035,0.246234384672269,0.292175748391413,0.334618028926504,0.366070695185507,0.387574565527612
25.5,0.221404111991099,0.229416596414549,0.251495148244043,0.296849680806729,0.336180738446485,0.370351919172526,0.390270831480839
26,0.226076038666992,0.234062368836041,0.255450730671136,0.303124864780975,0.344207832204323,0.372675218460789,0.394179402694136
26.5,0.229790358547138,0.238067877747795,0.258569593243384,0.309911486349009,0.348921903088686,0.379483474404845,0.398506353131142
27,0.234488878490171,0.242495655216949,0.265103591689637,0.312336369363234,0.349259680661837,0.381156868654948,0.403220237001979
27.5,0.240655490206695,0.246847950058897,0.270745814810991,0.316735331530577,0.354498358664157,0.384691818614266,0.406533973681149
